Gold,Level,Minions,Jungle_minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
22299,8.6,319,94,5,3,9,1,0,0,0,27,5,-1055,0
26209,8.6,287,74,15,16,15,5,0,2,0,23,7,-644,1
26853,8.8,295,86,15,12,15,4,0,0,0,20,6,644,0
21023,8.2,329,84,3,3,11,2,0,0,0,21,6,-3704,0
24727,8.8,335,70,11,13,3,4,0,2,0,16,6,3704,1
26318,8.8,341,76,11,7,14,4,1,1,0,19,9,-151,0
26469,9.2,349,84,14,15,11,2,0,1,0,23,10,151,1
27033,8.6,307,69,15,11,23,6,0,0,0,18,5,-3932,0
30965,9.2,319,78,23,27,15,7,1,1,0,24,0,3932,1
27530,8.8,299,62,17,19,19,1,0,0,0,18,5,175,1
27355,8.4,293,76,19,25,17,3,0,1,0,19,5,-175,0
26829,9.2,311,89,15,18,12,1,0,1,0,22,3,2443,1
24386,8.4,304,65,12,17,15,2,0,0,0,21,5,-2443,0
25090,8.6,260,76,14,15,13,2,1,0,0,22,6,-2211,1
27301,8.6,356,80,13,9,14,8,1,1,0,24,6,2211,0
25353,8.6,291,92,11,15,16,3,0,0,0,23,7,-1719,0
27072,8.8,331,62,16,17,11,5,0,1,0,28,7,1719,1
27932,8.6,307,62,17,20,18,3,0,0,0,18,4,-3194,0
31126,8.6,292,92,18,20,17,9,2,2,0,26,6,3194,1
23136,8.4,291,68,9,12,14,3,0,1,0,22,6,-1861,1
24997,8.4,273,64,14,19,9,0,0,1,0,21,8,1861,0
24661,8.4,279,62,13,10,18,1,0,0,0,15,5,-5850,0
30511,8.8,351,86,18,20,13,9,3,2,0,23,4,5850,1
25858,8.6,275,74,15,16,14,2,0,0,0,24,10,20,0
25838,8.6,284,69,14,13,15,4,0,1,0,23,5,-20,1
21462,8.2,330,56,6,6,13,1,0,0,0,21,8,-6153,0
27615,9,367,84,13,8,6,6,1,1,0,22,6,6153,1
24989,8.8,333,72,12,7,11,1,0,1,0,24,5,-993,1
25982,8.6,346,70,11,19,12,2,0,1,0,22,11,993,0
28035,8.8,319,79,22,24,6,2,0,0,0,22,6,4704,1
23331,8.2,317,56,6,9,22,4,0,0,0,26,7,-4704,0
26684,8.2,236,68,20,32,13,2,0,1,0,17,3,1430,0
25254,8.2,292,80,13,13,20,1,0,1,0,21,6,-1430,1
25075,8.8,294,74,11,15,16,0,0,0,0,21,4,-5205,0
30280,9.4,384,106,16,17,11,6,2,1,0,19,8,5205,1
29200,9,275,67,23,35,9,3,0,1,0,21,7,3059,1
26141,8.8,336,90,9,13,23,6,0,0,0,17,3,-3059,0
28865,8.8,333,84,18,17,13,4,1,0,0,18,2,2439,1
26426,8.2,260,78,13,19,18,4,1,1,0,25,8,-2439,0
24666,8.4,311,66,12,10,16,2,0,0,0,24,3,-2501,1
27167,8.6,289,77,16,19,12,3,0,1,0,18,6,2501,0
28071,9.2,388,78,16,8,12,3,0,2,0,17,6,2687,1
25384,9,343,78,12,10,16,2,0,0,0,22,8,-2687,0
25667,8.8,314,76,15,14,12,1,0,2,0,17,4,42,0
25625,8.8,323,68,12,15,15,2,0,0,0,21,4,-42,1
22758,8.6,323,86,8,6,9,2,0,1,0,18,6,-377,0
23135,8.4,305,70,9,12,8,1,0,1,0,13,7,377,1
32020,9.6,351,113,21,15,8,9,2,0,0,15,6,9132,1
22888,8.2,294,70,8,6,21,0,0,0,0,18,6,-9132,0
26030,9.2,363,64,13,10,11,1,0,1,0,23,7,1210,0
24820,8.8,342,84,11,9,13,1,0,1,0,19,8,-1210,1
20160,8,247,58,5,7,15,0,0,0,0,23,5,-8916,0
29076,9,346,96,15,22,5,10,2,1,0,23,3,8916,1
27169,9.2,309,110,16,18,9,5,0,0,0,24,4,2477,0
24692,8.6,342,56,9,10,16,2,0,1,0,24,7,-2477,1
26250,8.2,300,50,15,20,19,5,0,2,0,19,7,-2955,0
29205,8.6,290,106,19,20,15,8,2,0,0,19,3,2955,1
24785,9,303,73,13,9,14,1,0,0,0,20,3,-3408,0
28193,9.4,359,82,14,16,13,4,0,2,0,19,6,3408,1
25631,8.6,291,70,15,18,16,1,0,1,0,18,5,-1908,0
27539,9.2,317,85,16,16,15,5,0,1,0,24,3,1908,1
34273,9.4,340,109,23,17,11,9,4,1,0,23,3,11710,1
22563,7.8,252,62,11,14,23,1,0,1,0,12,7,-11710,0
33090,9,299,84,32,22,15,6,1,1,0,23,4,4817,1
28273,8.6,262,75,15,14,32,3,0,0,0,18,4,-4817,0
26700,9.6,373,92,14,14,6,1,0,0,0,21,7,3513,0
23187,8.8,338,88,6,15,14,1,0,1,0,16,6,-3513,1
25661,9,323,91,12,5,14,7,1,0,0,19,3,-420,0
26081,8.8,307,48,14,19,12,2,0,1,0,24,2,420,1
28680,9.2,355,81,15,16,5,8,1,1,0,21,5,7101,1
21579,8.4,271,74,5,3,15,3,0,0,0,24,2,-7101,0
26855,9,319,66,14,7,8,8,2,1,0,26,4,5417,1
21438,8.2,305,74,8,2,14,1,0,1,0,24,2,-5417,0
23074,8.8,297,78,10,6,16,2,0,0,0,17,2,-5493,0
28567,9.6,333,90,16,13,10,7,1,1,0,26,6,5493,1
22330,8.2,313,62,6,3,20,1,0,1,0,21,6,-7698,0
30028,9,321,89,20,22,6,6,1,1,0,21,5,7698,1
26744,8.6,335,82,12,12,13,3,0,0,0,23,5,946,0
25798,8.8,332,62,13,14,12,4,0,2,0,18,3,-946,1
23106,8.4,334,82,7,7,15,2,0,0,0,20,4,-5248,0
28354,9,320,70,15,13,7,9,2,1,0,21,7,5248,1
29827,9,332,83,17,15,20,7,1,0,0,21,3,2341,0
27486,8.8,294,68,20,11,17,2,0,1,0,25,3,-2341,1
24633,8.6,315,68,9,8,16,7,1,1,0,15,6,-4680,0
29313,9.2,298,95,16,13,9,8,1,0,0,20,1,4680,1
22643,8.4,292,70,9,13,11,0,0,1,0,19,5,-3147,1
25790,8.8,332,70,11,13,9,5,1,1,0,20,5,3147,0
22209,8.8,325,90,5,5,8,3,0,1,0,20,5,-2610,0
24819,9,362,82,8,5,5,4,0,0,0,19,5,2610,1
20926,8.4,278,59,6,6,18,2,0,0,0,24,6,-8857,0
